20 11 0 0
13 19 19 19 19 19 19 19 19 19  19   19 19 19 19 19 19 18 19 16 
21 18 18 18 18 18 18 18 18 18  18   18 18 18 18 18 18 18 18 22 
21 18 18 18 18 18 18 18 18 18  18   18 18 18 18 18 18 18 18 22 
21 18 18 18 18 18 18 18 18 18  18   18 18 18 18 18 18 18 18 22 
21 18 18 18 18 18 18 18 18 18  18   18 18 18 18 18 18 18 18 22 
21 18 18 18 18 18 18 18 18 18  18   18 18 18 18 18 18 18 18 22 
21 18 18 18 18 18 18 18 18 18  18   18 18 18 18 18 18 18 18 22
21 18 18 18 18 18 18 18 18 18  18   18 18 18 18 18 18 18 18 22
21 18 18 18 18 18 18 18 18 18  18   18 18 18 18 18 18 18 18 22
21 18 18 18 18 18 18 18 18 18  18   18 18 18 18 18 18 18 18 22
14 20 20 20 20 20 20 20 20 20  20   20 20 20 20 20 20 20 20 17
